,symptoms,treatments,drugs,bodyparts
37,"['flu symptoms', 'anorexia', 'communicable diseases', 'infantile neuroaxonal dystrophy', 'immune system diseases', 'macrophage activation syndrome', 'influenza', 'measles', 'ageusia', 'body ache', 'fatigue', 'dry cough', 'clouded consciousness', 'dyspnea']","['drugs', 'injection of therapeutic agent', 'current therapy', 'incision and drainage', 'detection', 'therapeutic procedure']",[],"['entire head', 'bony process', 'entire face']"
38,"['hepatic methionine adenosyltransferase deficiency', 'communicable diseases', 'bone cysts, aneurysmal']","['expression procedure', 'removal technique', 'prophylactic treatment', 'therapeutic procedure', 'discussion (procedure)']",[],['entire head']
39,"['communicable diseases', 'chromosome 2q32-q33 deletion syndrome', 'coronavirus infections', 'seizures']","['quarantine', 'incision and drainage', 'spatial guidance for medical procedure']",[],"['hippocampus proper', 'foot']"
40,['disease'],['incision and drainage'],[],[]
41,"['communicable diseases', 'pharyngitis', 'pneumonia', 'common cold', 'comatose', 'influenza', 'chronic obstructive airway disease', 'coronavirus infections', 'obesity', 'anorexia', 'infantile neuroaxonal dystrophy', 'lupus erythematosus', 'diabetes', 'malaria', 'cold symptoms', 'chromosome 2q32-q33 deletion syndrome', 'asthma attack', 'disease', 'flatulence', 'seizures', 'feeling strange', 'out (of) breath', 'feeling sick', 'respiratory problems', 'malaise', 'fatigue', 'signs and symptoms, respiratory', 'tremor', 'rhinorrhea', 'single organ dysfunction', 'ageusia', 'illness (finding)', 'nausea', 'sore throat', 'abdominal bloating', 'dry cough', 'coughing', 'decrease in appetite', 'nightmares', 'dyspnea']","['quarantine', 'supervision (regime/therapy)', 'administration procedure', 'incision and drainage', 'steam inhalations', 'procedures involving the use of pharmaceuticals', 'cardiac lead procedure', 'cisplatin/ifosfamide/mesna/mitomycin protocol', 'drugs', 'treatment protocols', 'therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'isolation procedure', 'surgical shortening - action', 'exercise pain management', 'therapeutic procedure']",['azithromycin 500 mg'],"['entire head', 'belly of skeletal muscle', 'heart', 'nasopharynx', 'comb animal structure', 'pharyngeal structure', 'gut', 'bony process', 'brain', 'lanugo', 'lung', 'body part']"
42,"['communicable diseases', 'ataxia telangiectasia', 'cerebellar decompression injury', 'common cold', 'influenza', 'chronic disease', 'coronavirus infections', 'genital infection', 'disease', 'upset stomach', 'catch - finding of sensory dimension of pain', 'coughing', 'exhaustion']","['soaking procedure', 'physical therapy', 'obstetric delivery', 'quarantine', 'therapeutic tactile stimulation', 'influenza vaccination', 'incision and drainage', 'sterilization for infection control', 'exercise pain management']",[],"['toes', 'heart', 'hand', 'distal intermedial ridge of tibia', 'eye', 'airway structure', 'shell - animal skin appendage', 'bony process', 'lanugo', 'nose']"
43,"['coronavirus infections', 'signs and symptoms']",['therapeutic procedure'],[],['tail fluke (body structure)']
44,['coughing'],[],[],[]
45,"['allergic disposition', 'infantile neuroaxonal dystrophy', 'severe acute respiratory syndrome', 'cardiac arrest', 'upper respiratory infections', 'coronavirus infections', 'heart problem', 'catch - finding of sensory dimension of pain', 'coughing', 'lightheadedness']","['transjugular intrahepatic portosystemic shunt procedure', 'obstetric delivery', 'quarantine', 'therapeutic tactile stimulation', 'exercise pain management']",[],"['entire head', 'hand', 'entire face', 'nose']"
46,"['influenza', 'coronavirus infections', 'seizures']","['childhood immunization', 'quarantine']",[],"['entire eye', 'bony process', 'quarter of the udder', 'entire face']"
47,"['communicable diseases', 'pneumonia', 'chronic obstructive airway disease', 'disease', 'out (of) breath']","['lobectomy', 'drainage procedure']",[],[]
48,"['allergic disposition', 'pharyngitis', 'vasculitis', 'cold symptoms', 'alopecia', 'tired', 'out (of) breath', 'fatigue', 'photopsia', 'sore throat', 'gonorrhea', 'geroderma osteodysplastica', 'allergic disposition', 'oculocerebrocutaneous syndrome', 'sexually transmitted diseases', 'pharyngitis', 'vasculitis', 'cold symptoms', 'lung diseases, obstructive', 'progressive encephalomyelitis with rigidity', 'flatulence', 'tired', 'out (of) breath', 'fatigue', 'photopsia', 'sore throat', 'pain']","['injection of therapeutic agent', 'modest-temperature hyperthermia', 'injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[],"['thyroid gland', 'nose', 'respiratory diaphragm', 'thyroid gland', 'structure of supraoptic nucleus', 'hair specimen', 'nose']"
49,"['blind vision', 'communicable diseases', 'short stature, idiopathic, x-linked', 'pulmonary congestion', 'wolf-hirschhorn syndrome', 'hepatic encephalopathy', 'coronavirus infections', 'progressive encephalomyelitis with rigidity', 'acute gastroenteritis', 'geroderma osteodysplastica', 'sexually transmitted diseases', 'lupus erythematosus', 'toxic liver disease', 'acute infectious disease', 'retinal damage', 'multiple epiphyseal dysplasia', 'gray platelet syndrome', 'carpal tunnel syndrome', 'common cold', 'influenza', 'liver abscess, amebic', 'papillon-lefevre disease', 'premature chromatid separation trait', 'gonorrhea', 'allergic disposition', 'dysosteosclerosis', ""little's disease"", 'malaria', 'rosacea', 'prieto x-linked mental retardation syndrome', 'disease', 'signs and symptoms', 'muscular stiffness', 'heart problem', 'sighing respiration']","['treated with', 'on anti-coagulants', 'induced abortion (procedure)', 'placebos', 'altretamine/carmustine/mitomycin', 'aid - artificial insemination by donor', 'diversion procedure', 'bleomycin/methotrexate/vincristine protocol', 'tannenbaum electroanalgesia method', 'etoposide/ifosfamide/mesna/mitoxantrone', 'hypophysectomy', 'procedures involving the use of pharmaceuticals', 'osteogenesis, distraction', 'modest-temperature hyperthermia', 'blood transfusion', 'surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'trans-hiatal esophagectomy', 'release (procedure)', 'surgical shortening - action', 'therapeutic procedure', 'ifosfamide/lomustine/vinblastine']",[],"['structure of retinal pigment epithelium', 'retina', 'eye', 'medullary pyramid', 'structure of trigeminal nerve superior sensory nucleus', 'blood vessel', 'lung', 'organ', 'anus', 'structure of putamen', 'common carotid artery', 'downy hair', 'foot']"
50,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'sexually transmitted diseases', 'infantile neuroaxonal dystrophy', 'palmar-plantar erythrodysesthesia syndrome', 'common cold', 'influenza', 'mandibuloacral dysostosis', 'chronic articular rheumatism', 'hyperostosis, diffuse idiopathic skeletal', 'gasping for breath', 'shoulder stiff', 'multiple symptoms', 'coughing', 'exhaustion']","['treated with', 'single embryo transfer', 'quarantine', 'group reassurance', 'incision and drainage', 'anesthesia procedures', 'reminding', 'discussion (procedure)', 'adoptive immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'primary operation', 'hac protocol', 'exploration procedure']",[],"['structure of spectacle (body structure)', 'structure of putamen', 'pharyngeal structure', 'tooth structure', 'brain', 'entire face', 'entire ear', 'lung', 'hair specimen']"
51,"['gonorrhea', 'geroderma osteodysplastica', 'flu symptoms', 'bleeding ulcer', 'pneumonia', 'common cold', 'influenza', 'short stature, idiopathic, x-linked', 'lung diseases, obstructive', 'coronavirus infections', 'acute gastroenteritis', 'influenza-like symptoms']","['quarantine', 'injection of therapeutic agent', 'adoptive immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'surgical shortening - action', 'osteogenesis, distraction']",['zinc lozenge'],"['wing', 'common carotid artery', 'inferior olivary eminence']"
52,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'palmar-plantar erythrodysesthesia syndrome', 'fish-eye disease', 'algoneurodystrophy', 'lung diseases, obstructive', 'amelogenesis imperfecta nephrocalcinosis', 'acute gastroenteritis', 'gray platelet syndrome', 'signs and symptoms', 'nervousness']","['single embryo transfer', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'excision of axillary lymph nodes', 'marital therapy', 'therapeutic procedure', 'teleradiotherapy procedure']",[],"['structure of putamen', 'entire face']"
53,"['communicable diseases', 'adult fanconi syndrome', 'diabetes mellitus, non-insulin-dependent', 'hereditary diseases', 'carpal tunnel syndrome', 'chronic obstructive airway disease', 'acute gastroenteritis', 'gonorrhea', 'geroderma osteodysplastica', 'obesity', 'allergic disposition', 'wilson-turner x-linked mental retardation syndrome', ""little's disease"", 'chronic otitis media', 'asthma', 'signs and symptoms', 'overweight', 'exertional']","['cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'special diet therapy', 'osteogenesis, distraction']",[],"['structure of supraoptic nucleus', 'structure of putamen', 'pharyngeal structure', 'liver', 'lung', 'foot', 'entire neck']"
54,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'diabetes mellitus', 'common cold', 'lung diseases, obstructive', 'coronavirus infections', 'progressive encephalomyelitis with rigidity', 'disease']","['modest-temperature hyperthermia', 'quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'hac protocol', 'therapeutic procedure', 'orthokeratology']",[],"['midbrain structure', 'hand']"
55,"['communicable diseases', 'common cold', 'influenza', 'sick sinus syndrome', 'coronavirus infections', 'gonorrhea', 'geroderma osteodysplastica', ""little's disease"", 'neonatal alloimmune thrombocytopenia', 'lung diseases, obstructive', 'influenza due to influenza a virus subtype h1n1', 'short stature, onychodysplasia, facial dysmorphism, and hypotrichosis syndrome', 'organic disorders', 'disease', 'gray platelet syndrome', 'coughing', 'asthenia', 'nervousness']","['modest-temperature hyperthermia', '5 minutes office visit', 'injection of therapeutic agent', 'therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'incision and drainage', 'prevention of disorder', 'tonsillectomy and adenoidectomy']",[],"['respiratory diaphragm', 'hand', 'structure of putamen', 'common carotid artery', 'entire face', 'downy hair', 'lung', 'nose']"
56,"['gonorrhea', 'geroderma osteodysplastica', 'coughing', 'sighing respiration']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],"['structure of putamen', 'blood vessel', 'entire face', 'nose']"
57,"['gonorrhea', 'geroderma osteodysplastica']",[],[],['foot']
58,"['multi-infarct dementia', 'popliteal pterygium syndrome, lethal type', 'retching', 'acute onset cough', 'dry cough', 'sharp pain', 'chills']","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'etoposide/ifosfamide/mesna/mitoxantrone']",['zinc lozenge'],"['entire throat (surface region of neck)', 'uvula of palate', 'thoracic cage structure', 'entire neck']"
59,"['amyotrophic lateral sclerosis, sporadic', 'idiopathic multicentric osteolyses', 'streptococcal lymphadenitis of swine', 'short stature, idiopathic, x-linked', 'influenza', 'reflex sympathetic dystrophy', 'measles', 'meningococcal meningitis', 'coronavirus infections', 'disease', 'primary infection nos', 'gray platelet syndrome', 'signs and symptoms']","['immobilization', 'administration procedure', 'measles-mumps-rubella vaccination', 'therapeutic tactile stimulation', 'primary operation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'excision of axillary lymph nodes', 'sterilization for infection control', 'bleomycin/methotrexate/vincristine protocol', 'procedures involving the use of pharmaceuticals', 'therapeutic procedure', 'orthokeratology']",['zinc lozenge'],"['medial amygdalar nucleus', 'heart', 'eye', 'entire finger', 'liver', 'brain', 'tooth structure', 'entire nasal passage', 'lung', 'entire face', 'nose', 'entire lung', 'kidney', 'hair of nose', 'structure of putamen', 'common carotid artery', 'animal coat']"
60,"['gonorrhea', 'geroderma osteodysplastica', 'sinusitis', 'allergic disposition', 'duane retraction syndrome', ""little's disease"", 'pharyngitis', 'short stature, idiopathic, x-linked', 'lung diseases, obstructive', 'diabetic retinopathy', 'acute gastroenteritis', 'anosmia', 'pruritus', 'sore throat', 'coughing', 'pain', 'other symptoms']","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'procedures involving the use of pharmaceuticals']",[],"['structure of supraoptic nucleus', 'entire lacteal', 'lung', 'foot', 'entire breast']"
61,"['gonorrhea', 'geroderma osteodysplastica', 'communicable diseases', 'lung diseases, obstructive', 'gastrointestinal gas', 'coughing', 'sighing respiration', 'clouded consciousness']","['therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'toilet procedure', 'reminding', 'osteogenesis, distraction', 'insertion of pack (procedure)']",[],"['hand', 'airway structure', 'eye', 'entire hand', 'nose']"
62,"['pharyngitis', 'hamman-rich syndrome', 'common cold', 'influenza', 'short stature, idiopathic, x-linked', 'hybrid resistance', 'coronavirus infections', 'acute gastroenteritis', 'gonorrhea', 'geroderma osteodysplastica', 'infantile neuroaxonal dystrophy', 'diabetes mellitus', 'lung problem', 'cold symptoms', 'lung diseases, obstructive', 'disease', 'ache', 'diarrhea', 'fatigue', 'redness of face', 'pain', 'nervousness', 'rhinorrhea', 'nasal congestion (finding)', 'heart problem', 'sore throat', 'dry cough', 'coughing', 'clouded consciousness', 'dyspnea', 'chills']","['transjugular intrahepatic portosystemic shunt procedure', 'therapeutic tactile stimulation', 'yoga', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'incision and drainage', 'isolation procedure', 'distraction training', 'calming', 'diet good', 'exercise pain management']",[],"['minor salivary gland structure', 'heart', 'uterus', 'hand', 'entire face', 'lung', 'downy hair', 'nose', 'entire breast']"
