,symptoms,treatments,drugs,bodyparts
30,"['Secondary bacterial pneumonia', 'Smallpox', 'Communicable Diseases', 'Infectious disease of lung', 'Aspergilloma', 'Poliomyelitis', 'Pneumonia', 'Respiratory Tract Infections', 'Influenza', 'Mycoses', 'Pneumonia, Bacterial', 'Coronavirus Infections', 'Hemorrhagic Fever, Ebola', 'Trigger Finger Disorder', 'Bacterial Infections', 'Virus Diseases', 'primary infection nos', 'Sepsis', 'Mumps', 'Asthma', 'Secondary Infections', 'Disease', 'rundown']","['Injection of therapeutic agent', 'Vaccination']",[],"['Immune System Part', 'Entire respiratory tract', 'Pharyngeal structure', 'Lung']"
31,"['Communicable Diseases', 'Coinfection', 'Virus Diseases']",[],[],[]
32,"['Dermatologic disorders', 'Connective Tissue Diseases']",['Incision and drainage'],[],['Entire nose']
33,"['Obesity', 'Hypertensive disease', 'Diabetes Mellitus', 'Lung diseases', 'Chronic disease', 'Kidney Diseases', 'Coronavirus Infections', 'Disease']",['Prophylactic treatment'],[],"['Heart', 'Hippocampus Proper', 'Lung']"
34,"['Hypertensive disease', 'Diabetes Mellitus', 'Asthma', 'Seizures', 'Signs and Symptoms', 'Coughing', 'Nervousness']","['Meditation Therapy', 'Incision and drainage', 'Isolation procedure', 'Exercise Pain Management', 'Therapeutic procedure', 'diabete system', 'Fitting of shoe']",[],[]
35,"['Osteoporosis', 'Vitamin D Deficiency', 'Disease', 'Flushing', 'Clouded consciousness']","['Treated with', 'DRUGS', 'nursing therapy', 'Interventional procedure', 'Detection', 'Dietary Supplementation', 'Therapeutic procedure', 'Cardiac Lead Procedure', 'Peripheral Electronic Nerve Stimulation']",[],"['Hand', 'Distal intermedial ridge of tibia', 'Skeletal bone']"
36,"['Obesity', 'Common Cold', 'Interstitial emphysema', 'Coronavirus Infections', 'Pyotraumatic dermatitis', 'Disease', 'Signs and Symptoms', 'Overweight']","['Injection of therapeutic agent', 'Incision and drainage', 'Prophylactic treatment', 'Special Diet Therapy', 'Exercise Pain Management', 'special diet', 'Insertion of pack (procedure)']",[],"['Heart', 'Quarter of the Udder', '20s', 'Entire face', 'Lung', 'Skeletal bone']"
37,"['flu symptoms', 'Anorexia', 'Communicable Diseases', 'Infantile Neuroaxonal Dystrophy', 'Immune System Diseases', 'Macrophage Activation Syndrome', 'Influenza', 'Measles', 'Ageusia', 'BODY ACHE', 'Fatigue', 'Dry cough', 'Clouded consciousness', 'Dyspnea']","['DRUGS', 'Injection of therapeutic agent', 'Current Therapy', 'Incision and drainage', 'Detection', 'Therapeutic procedure']",[],"['Entire head', 'bony process', 'Entire face']"
38,"['Hepatic methionine adenosyltransferase deficiency', 'Communicable Diseases', 'Bone Cysts, Aneurysmal']","['Expression procedure', 'removal technique', 'Prophylactic treatment', 'Therapeutic procedure', 'Discussion (procedure)']",[],['Entire head']
39,"['Communicable Diseases', 'Chromosome 2q32-Q33 Deletion Syndrome', 'Coronavirus Infections', 'Seizures']","['Quarantine', 'Incision and drainage', 'Spatial guidance for medical procedure']",[],"['Hippocampus Proper', 'Foot']"
40,['Disease'],['Incision and drainage'],[],[]
41,"['Communicable Diseases', 'Pharyngitis', 'Pneumonia', 'Common Cold', 'Comatose', 'Influenza', 'Chronic Obstructive Airway Disease', 'Coronavirus Infections', 'Obesity', 'Anorexia', 'Infantile Neuroaxonal Dystrophy', 'Lupus Erythematosus', 'Diabetes', 'Malaria', 'cold symptoms', 'Chromosome 2q32-Q33 Deletion Syndrome', 'Asthma attack', 'Disease', 'Flatulence', 'Seizures', 'Feeling strange', 'out (of) breath', 'Feeling Sick', 'Respiratory problems', 'Malaise', 'Fatigue', 'Signs and Symptoms, Respiratory', 'Tremor', 'Rhinorrhea', 'Single organ dysfunction', 'Ageusia', 'Illness (finding)', 'Nausea', 'Sore Throat', 'Abdominal bloating', 'Dry cough', 'Coughing', 'Decrease in appetite', 'Nightmares', 'Dyspnea']","['Quarantine', 'Supervision (regime/therapy)', 'Administration procedure', 'Incision and drainage', 'Steam inhalations', 'Procedures involving the use of pharmaceuticals', 'Cardiac Lead Procedure', 'cisplatin/ifosfamide/mesna/mitomycin protocol', 'DRUGS', 'Treatment Protocols', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Surgical shortening - action', 'Exercise Pain Management', 'Therapeutic procedure']",['Azithromycin 500 MG'],"['Entire head', 'Belly of skeletal muscle', 'Heart', 'Nasopharynx', 'Comb animal structure', 'Pharyngeal structure', 'Gut', 'bony process', 'Brain', 'Lanugo', 'Lung', 'Body part']"
42,"['Communicable Diseases', 'Ataxia Telangiectasia', 'Cerebellar decompression injury', 'Common Cold', 'Influenza', 'Chronic disease', 'Coronavirus Infections', 'Genital infection', 'Disease', 'Upset stomach', 'Catch - Finding of sensory dimension of pain', 'Coughing', 'Exhaustion']","['Soaking Procedure', 'Physical therapy', 'Obstetric Delivery', 'Quarantine', 'Therapeutic tactile stimulation', 'Influenza vaccination', 'Incision and drainage', 'Sterilization for infection control', 'Exercise Pain Management']",[],"['Toes', 'Heart', 'Hand', 'Distal intermedial ridge of tibia', 'Eye', 'Airway structure', 'Shell - Animal skin appendage', 'bony process', 'Lanugo', 'Nose']"
43,"['Coronavirus Infections', 'Signs and Symptoms']",['Therapeutic procedure'],[],['Tail fluke (body structure)']
44,['Coughing'],[],[],[]
45,"['Allergic disposition', 'Infantile Neuroaxonal Dystrophy', 'Severe Acute Respiratory Syndrome', 'Cardiac Arrest', 'Upper Respiratory Infections', 'Coronavirus Infections', 'HEART PROBLEM', 'Catch - Finding of sensory dimension of pain', 'Coughing', 'Lightheadedness']","['Transjugular intrahepatic portosystemic shunt procedure', 'Obstetric Delivery', 'Quarantine', 'Therapeutic tactile stimulation', 'Exercise Pain Management']",[],"['Entire head', 'Hand', 'Entire face', 'Nose']"
46,"['Influenza', 'Coronavirus Infections', 'Seizures']","['Childhood Immunization', 'Quarantine']",[],"['Entire eye', 'bony process', 'Quarter of the Udder', 'Entire face']"
47,"['Communicable Diseases', 'Pneumonia', 'Chronic Obstructive Airway Disease', 'Disease', 'out (of) breath']","['Lobectomy', 'Drainage procedure']",[],[]
48,"['Allergic disposition', 'Pharyngitis', 'Vasculitis', 'cold symptoms', 'Alopecia', 'Tired', 'out (of) breath', 'Fatigue', 'Photopsia', 'Sore Throat', 'Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Oculocerebrocutaneous syndrome', 'Sexually Transmitted Diseases', 'Pharyngitis', 'Vasculitis', 'cold symptoms', 'Lung Diseases, Obstructive', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Flatulence', 'Tired', 'out (of) breath', 'Fatigue', 'Photopsia', 'Sore Throat', 'Pain']","['Injection of therapeutic agent', 'Modest-Temperature Hyperthermia', 'Injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[],"['Thyroid Gland', 'Nose', 'Respiratory Diaphragm', 'Thyroid Gland', 'Structure of supraoptic nucleus', 'Hair Specimen', 'Nose']"
49,"['Blind Vision', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Pulmonary congestion', 'Wolf-Hirschhorn Syndrome', 'Hepatic Encephalopathy', 'Coronavirus Infections', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Acute gastroenteritis', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Lupus Erythematosus', 'Toxic liver disease', 'Acute infectious disease', 'Retinal damage', 'Multiple Epiphyseal Dysplasia', 'Gray Platelet Syndrome', 'Carpal Tunnel Syndrome', 'Common Cold', 'Influenza', 'Liver Abscess, Amebic', 'Papillon-Lefevre Disease', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Gonorrhea', 'Allergic disposition', 'Dysosteosclerosis', ""Little's Disease"", 'Malaria', 'Rosacea', 'Prieto X-linked mental retardation syndrome', 'Disease', 'Signs and Symptoms', 'Muscular stiffness', 'HEART PROBLEM', 'Sighing respiration']","['Treated with', 'on anti-coagulants', 'Induced abortion (procedure)', 'Placebos', 'altretamine/carmustine/mitomycin', 'AID - Artificial insemination by donor', 'Diversion procedure', 'bleomycin/methotrexate/vincristine protocol', 'Tannenbaum electroanalgesia method', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Hypophysectomy', 'Procedures involving the use of pharmaceuticals', 'Osteogenesis, Distraction', 'Modest-Temperature Hyperthermia', 'Blood Transfusion', 'Surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Trans-hiatal esophagectomy', 'Release (procedure)', 'Surgical shortening - action', 'Therapeutic procedure', 'ifosfamide/lomustine/vinblastine']",[],"['Structure of retinal pigment epithelium', 'Retina', 'Eye', 'medullary pyramid', 'Structure of trigeminal nerve superior sensory nucleus', 'Blood Vessel', 'Lung', 'Organ', 'Anus', 'Structure of putamen', 'Common carotid artery', 'Downy hair', 'Foot']"
50,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Sexually Transmitted Diseases', 'Infantile Neuroaxonal Dystrophy', 'Palmar-plantar erythrodysesthesia syndrome', 'Common Cold', 'Influenza', 'Mandibuloacral dysostosis', 'Chronic articular rheumatism', 'Hyperostosis, Diffuse Idiopathic Skeletal', 'Gasping for breath', 'Shoulder stiff', 'Multiple symptoms', 'Coughing', 'Exhaustion']","['Treated with', 'Single Embryo Transfer', 'Quarantine', 'Group reassurance', 'Incision and drainage', 'Anesthesia procedures', 'Reminding', 'Discussion (procedure)', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Primary operation', 'HAC protocol', 'Exploration procedure']",[],"['Structure of spectacle (body structure)', 'Structure of putamen', 'Pharyngeal structure', 'Tooth structure', 'Brain', 'Entire face', 'Entire ear', 'Lung', 'Hair Specimen']"
51,"['Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Bleeding ulcer', 'Pneumonia', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Acute gastroenteritis', 'Influenza-like symptoms']","['Quarantine', 'Injection of therapeutic agent', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Surgical shortening - action', 'Osteogenesis, Distraction']",['ZINC LOZENGE'],"['Wing', 'Common carotid artery', 'inferior olivary eminence']"
52,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Palmar-plantar erythrodysesthesia syndrome', 'Fish-Eye Disease', 'Algoneurodystrophy', 'Lung Diseases, Obstructive', 'Amelogenesis imperfecta nephrocalcinosis', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'Signs and Symptoms', 'Nervousness']","['Single Embryo Transfer', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'Marital Therapy', 'Therapeutic procedure', 'Teleradiotherapy procedure']",[],"['Structure of putamen', 'Entire face']"
53,"['Communicable Diseases', 'Adult Fanconi syndrome', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Hereditary Diseases', 'Carpal Tunnel Syndrome', 'Chronic Obstructive Airway Disease', 'Acute gastroenteritis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Obesity', 'Allergic disposition', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', ""Little's Disease"", 'Chronic otitis media', 'Asthma', 'Signs and Symptoms', 'Overweight', 'EXERTIONAL']","['cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Special Diet Therapy', 'Osteogenesis, Distraction']",[],"['Structure of supraoptic nucleus', 'Structure of putamen', 'Pharyngeal structure', 'Liver', 'Lung', 'Foot', 'Entire neck']"
54,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Diabetes Mellitus', 'Common Cold', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Disease']","['Modest-Temperature Hyperthermia', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'HAC protocol', 'Therapeutic procedure', 'Orthokeratology']",[],"['Midbrain structure', 'Hand']"
55,"['Communicable Diseases', 'Common Cold', 'Influenza', 'Sick Sinus Syndrome', 'Coronavirus Infections', 'Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Neonatal alloimmune thrombocytopenia', 'Lung Diseases, Obstructive', 'Influenza due to Influenza A virus subtype H1N1', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'organic disorders', 'Disease', 'Gray Platelet Syndrome', 'Coughing', 'Asthenia', 'Nervousness']","['Modest-Temperature Hyperthermia', '5 minutes Office visit', 'Injection of therapeutic agent', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'prevention of disorder', 'Tonsillectomy and adenoidectomy']",[],"['Respiratory Diaphragm', 'Hand', 'Structure of putamen', 'Common carotid artery', 'Entire face', 'Downy hair', 'Lung', 'Nose']"
56,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coughing', 'Sighing respiration']",['cisplatin/etoposide/mitoxantrone/tamoxifen protocol'],[],"['Structure of putamen', 'Blood Vessel', 'Entire face', 'Nose']"
